Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?
2019,100.3,Isaiah Hartenstein,HOU,6,18,42,12,5.4,4.6,0.9,0.4,0.7,0.7,69.6,0.0,0.001,14.2,12.3,0,0
2019,100.3,Maurice Harkless,NYK,13,43,44,30,5.4,4.0,1.0,1.0,0.7,0.9,57.3,0.5,0.002,10.2,6.0,0,0
2019,100.3,Mo Bamba,ORL,7,40,44,20,5.3,5.4,0.7,0.4,1.4,0.8,51.1,0.6,0.002,16.4,11.3,0,0
2019,100.3,Timothe Luwawu-Cabarrot,BKN,8,20,42,5,5.3,2.4,0.7,0.5,0.1,1.0,56.3,0.9,0.002,13.5,4.9,0,0
2019,100.3,Michael Carter-Williams,ORL,7,21,44,10,5.3,3.1,2.0,1.0,0.4,0.9,45.5,0.3,0.002,17.2,8.8,0,0
2019,100.3,Taj Gibson,NYK,13,41,44,12,5.2,4.3,1.0,0.5,0.4,0.9,56.3,0.0,0.0,13.7,8.1,0,0
2019,100.3,David Nwaba,BKN,8,20,42,8,5.2,2.3,0.4,0.6,0.6,0.4,62.7,0.6,0.002,13.9,9.8,0,0
2019,100.3,Dennis Smith Jr.,NYK,13,21,44,3,5.2,2.1,2.7,0.5,0.3,1.4,39.2,0.6,0.001,20.2,3.5,0,0
2019,100.3,Gary Trent Jr.,POR,10,32,45,13,5.2,1.4,0.8,0.5,0.2,0.3,52.1,1.1,0.001,14.6,5.8,0,0
2019,100.3,Treveon Graham,ATL,15,34,44,12,5.2,2.9,0.9,0.5,0.1,0.6,45.1,0.6,0.001,13.1,3.8,0,0
2019,100.3,Sterling Brown,MIL,1,32,45,27,5.1,3.8,1.0,0.6,0.1,0.9,49.9,0.8,0.002,16.1,8.7,0,0
2019,100.3,Terrance Ferguson,OKC,7,36,44,20,5.1,1.7,0.9,0.6,0.3,0.7,53.3,1.1,0.001,9.4,1.3,0,0
2019,100.3,Allen Crabbe,MIN,13,29,43,4,5.0,2.3,1.1,0.5,0.1,0.4,47.9,1.1,0.001,12.2,5.2,0,0
