Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Selected?
1996,90.1,Ricky Pierce,CHH,6,20,40,5,9.2,1.5,0.8,0.4,0.2,1.1,51.2,0.3,0.0,25.3,7.6,1,0,0
1996,90.1,Henry James,ATL,5,16,38,12,9.0,2.0,0.4,0.2,0.0,1.1,58.8,1.5,0.001,17.3,5.1,0,0,0
1996,90.1,Mark Bryant,PHX,9,20,40,10,9.0,4.7,1.2,0.6,0.0,1.0,61.8,0.0,0.001,16.7,10.1,0,0,0
1996,90.1,Kevin Willis,HOU,1,39,41,29,8.9,6.5,0.7,0.4,0.3,1.7,50.7,0.1,0.002,19.8,8.8,1,0,0
1996,90.1,Armen Gilliam,MIL,10,39,39,19,8.8,6.7,0.7,0.7,0.3,1.5,52.4,0.0,0.001,17.7,9.9,0,0,0
1996,90.1,Bob Sura,CLE,7,39,39,22,8.8,3.5,4.3,0.9,0.2,2.0,53.2,0.7,0.003,20.0,12.0,0,0,0
1996,90.1,Will Perdue,SAS,13,29,37,8,8.8,10.0,0.6,0.5,1.8,1.7,60.7,0.0,0.001,13.2,11.0,0,0,0
1996,90.1,Derek Strong,ORL,11,36,36,17,8.7,5.8,0.8,0.5,0.3,1.3,47.9,0.0,0.002,19.4,9.9,0,0,0
1996,90.1,P.J. Brown,MIA,3,40,40,29,8.5,8.0,1.1,0.8,1.2,1.5,49.7,0.0,0.004,15.1,8.9,0,0,0
1996,90.1,Doug West,MIN,6,34,40,13,8.4,2.1,1.8,0.7,0.3,1.2,49.0,0.1,0.001,15.2,4.0,0,0,0
1996,90.1,Johnny Newman,MIL,10,39,39,19,8.4,2.3,1.5,1.1,0.2,1.2,55.9,0.4,0.001,16.3,7.2,0,0,0
1996,90.1,Derrick McKey,IND,8,38,38,19,8.4,5.1,2.9,1.0,0.6,1.6,47.3,0.3,0.003,16.7,8.4,0,0,0
1996,90.1,George Lynch,VAN,14,41,41,8,8.3,6.4,1.9,1.5,0.4,1.6,51.2,0.2,0.001,17.3,10.7,0,0,0
1996,90.1,Tracy Murray,WAS,8,40,40,20,8.3,2.5,0.9,0.9,0.2,0.9,50.6,1.1,0.002,19.6,7.5,0,0,0
1996,90.1,Dee Brown,BOS,14,11,36,3,8.3,2.0,3.5,1.5,0.3,1.0,43.3,0.8,0.003,16.6,7.2,0,0,0
1996,90.1,Hot Rod Williams,PHX,9,28,40,15,8.1,8.3,1.7,1.0,1.0,1.0,49.0,0.0,0.003,14.0,9.5,0,0,0
1996,90.1,Charles Smith,SAS,13,4,37,1,8.0,5.3,1.3,0.3,1.3,2.3,60.1,0.0,0.005,19.1,10.0,0,0,0
1996,90.1,Darrell Armstrong,ORL,11,33,36,14,7.9,1.4,3.3,1.1,0.2,2.3,54.2,1.2,0.002,20.8,8.5,0,0,0
1996,90.1,James Robinson,MIN,6,29,40,13,7.9,1.6,1.7,0.4,0.1,0.9,52.4,1.2,0.001,20.2,7.3,0,0,0
1996,90.1,Duane Ferrell,IND,8,27,38,16,7.9,2.3,0.7,0.5,0.1,0.9,62.5,0.5,0.002,20.7,12.1,0,0,0
1996,90.1,Ike Austin,MIA,3,40,40,29,7.9,5.1,1.0,0.6,0.4,1.5,52.9,0.0,0.002,20.6,10.4,0,0,0
1996,90.1,Mark Davis,PHI,15,36,39,8,7.8,4.0,1.8,1.5,0.5,1.6,51.0,0.5,0.001,17.6,8.0,0,0,0
1996,90.1,Steve Kerr,CHI,1,40,40,35,7.8,1.5,2.1,0.8,0.1,0.4,66.0,1.3,0.003,12.0,10.7,0,0,0
1996,90.1,Jerome Kersey,LAL,3,29,41,21,7.8,5.1,1.3,1.7,0.7,1.2,50.3,0.5,0.002,14.6,7.1,0,0,0
1996,90.1,B.J. Armstrong,GSW,7,39,39,16,7.6,1.5,2.5,0.5,0.0,1.1,56.1,0.5,0.0,17.8,10.2,1,0,0
1996,90.1,Luc Longley,CHI,1,17,40,15,7.6,5.1,2.2,0.5,1.2,2.1,51.0,0.0,0.002,18.9,7.5,0,0,0
1996,90.1,Pooh Richardson,LAC,10,28,38,10,7.5,2.4,3.6,1.4,0.1,1.5,47.0,1.1,0.002,17.3,9.3,0,0,0
1996,90.1,Tyus Edney,SAC,8,34,40,16,7.5,1.9,3.2,1.1,0.0,1.8,48.4,0.1,0.002,19.3,9.6,0,0,0
1996,90.1,Terry Dehere,LAC,10,38,38,14,7.4,1.4,2.2,0.4,0.1,1.6,52.5,0.7,0.002,22.6,8.0,0,0,0
